run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,1,developing,SFI,136562.2857142857,0.0,136562.2857142857,657936.4571428571,657936.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,2,developing,SFI,-763801.7142857143,0.0,-763801.7142857143,236562.45714285714,236562.45714285714
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,3,developing,SFI,236562.2857142857,0.0,236562.2857142857,1459136.4571428571,1459136.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,4,developed,SI,-6959388.933333333,-13.0,-6958728.933333333,8741802.133333333,8741802.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,5,developing,SFI,136562.2857142857,0.0,136562.2857142857,790316.4571428571,790316.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,6,developed,SI,2205921.0666666673,946.0,2206867.0666666673,7884919.133333334,7884919.133333334
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,7,developed,SI,5040611.066666667,-6725.0,5033886.066666667,9347060.133333333,9347060.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,8,developing,SFI,236562.2857142857,0.0,236562.2857142857,488495.45714285714,488495.45714285714
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,9,developing,SFI,36562.28571428571,0.0,36562.28571428571,449136.45714285714,449136.45714285714
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,10,developing,SFI,236562.2857142857,0.0,236562.2857142857,1212136.4571428571,1212136.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,11,developing,SFI,136562.2857142857,0.0,136562.2857142857,750256.4571428571,750256.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,12,developing,SFI,236562.2857142857,0.0,236562.2857142857,716836.4571428571,716836.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,13,developing,SFI,36562.28571428571,0.0,36562.28571428571,890243.457142857,890243.457142857
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,14,developed,SI,1040611.0666666673,-363.0,1040248.0666666673,5568773.133333334,5568773.133333334
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,15,developing,SFI,236562.2857142857,0.0,236562.2857142857,719196.4571428571,719196.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,16,developing,SFI,236562.2857142857,0.0,236562.2857142857,855436.4571428571,855436.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,17,developing,SFI,36562.28571428571,0.0,36562.28571428571,449136.45714285714,449136.45714285714
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,18,developed,SI,2040611.0666666673,1033.0,2041644.0666666673,6013498.133333335,6013498.133333335
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,19,developed,SI,5040611.066666667,-7853.0,5032758.066666667,11163146.133333333,11163146.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,20,developed,SI,4104051.0666666673,-118.0,4103933.0666666673,9836477.133333333,9836477.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,21,developed,SI,5040611.066666667,-5575.0,5035036.066666667,11147917.133333333,11147917.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,22,developed,SI,5040611.066666667,-1294.0,5039317.066666667,12337230.133333333,12337230.133333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,23,developing,SFI,67006.28571428571,0.0,67006.28571428571,679400.4571428571,679400.4571428571
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,24,developed,SI,2616015.0666666673,376.0,2616391.0666666673,7162395.133333334,7162395.133333334
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,25,developed,SI,-5568125.933333333,-2400.0,-5569852.933333333,5038884.133333334,5038884.133333334
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,0,developed,SI,6155207.066666666,-7319.0,6147888.066666666,19775739.2,19775739.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,1,developing,SFI,425190.17142857146,0.0,425190.17142857146,1083126.6285714286,1083126.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,2,developing,SFI,425190.17142857146,0.0,425190.17142857146,661752.6285714286,661752.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,3,developing,SFI,325190.17142857146,0.0,325190.17142857146,1784326.6285714286,1784326.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,4,developed,SI,3155207.0666666664,878.0,3156085.0666666664,11897887.2,11897887.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,5,developing,SFI,425190.17142857146,0.0,425190.17142857146,1215506.6285714286,1215506.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,6,developed,SI,6155207.066666666,-10578.0,6144629.066666666,14029548.2,14029548.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,7,developed,SI,1155207.0666666664,-632.0,1154575.0666666664,10501635.2,10501635.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,8,developing,SFI,400690.17142857146,0.0,400690.17142857146,889185.6285714286,889185.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,9,developing,SFI,225190.17142857146,0.0,225190.17142857146,674326.6285714286,674326.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,10,developing,SFI,-786945.8285714285,0.0,-786945.8285714285,425190.6285714286,425190.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,11,developing,SFI,273658.17142857146,0.0,273658.17142857146,1023914.6285714286,1023914.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,12,developing,SFI,-291645.82857142854,0.0,-291645.82857142854,425190.6285714286,425190.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,13,developing,SFI,-464809.82857142854,0.0,-464809.82857142854,425433.6285714285,425433.6285714285
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,14,developed,SI,3155207.0666666664,-1147.0,3154060.0666666664,8722833.2,8722833.2
