seed,round_number,institution_choice,n,mean_prop,median_prop,std_prop,mean_contribution,mean_wealth
seed1,18,SFI,14,0.1715660253324882,0.1164574014272576,0.19944491397214556,90596.07142857143,1222869.2142857146
seed1,19,SFI,14,0.1512005647464689,0.0300959231794541,0.1941429908074779,80398.28571428571,1271108.1857142858
seed1,20,SFI,14,0.3626633844653246,0.0287527644210119,0.7322576292503274,123406.64285714286,1345152.1714285717
seed1,21,SFI,14,0.17960713591691801,0.02839912505530105,0.2562517336762134,74453.64285714286,1389824.3571428575
seed1,22,SFI,14,0.21638446407870512,0.014099376528037201,0.367503361792462,77068.07142857143,1436065.2
seed1,23,SFI,14,0.2922802055841466,0.013595991721177,0.5359761601256783,69202.42857142857,1477586.657142857
seed1,24,SFI,14,0.1549891442545423,0.00605140761301575,0.48794271956251434,43893.0,1503922.4571428574
seed1,25,SFI,14,0.473267603489937,0.00648112044152175,1.5353420892786125,105821.71428571429,1567415.4857142859
seed1,26,SFI,14,0.4341466924343965,0.02628090484545175,1.0869144588101352,133034.2857142857,1647236.0571428575
seed1,27,SFI,14,0.3384898573420327,0.01126644903271235,0.7785968830310454,84262.78571428571,1697793.7285714292
seed1,28,SFI,14,0.42352188215705766,0.04429665152674375,1.0841013230928753,124569.0,1772535.1285714286
seed1,29,SFI,14,0.1605431385234528,0.01035228780673815,0.3193828945228155,63767.71428571428,1810795.7571428579
seed1,30,SFI,14,0.42666804462088076,0.0245605443523066,1.0135112288416768,113232.0,1878734.9571428576
seed1,1,SI,12,0.47601818308310634,0.03710676811492105,0.883756666646658,795208.3333333334,4979079.5
seed1,2,SI,12,0.26156911152582263,0.15713852553917268,0.30008348725914724,2073068.75,6221291.083333333
seed1,3,SI,12,0.40144185116257997,0.2202096095481905,0.5496049237527111,1767824.6666666667,7198269.55
seed1,4,SI,12,0.3411645777971628,0.18024220102759325,0.5233201612091352,1499240.4166666667,8016356.633333334
seed1,5,SI,12,0.3465790035219203,0.0898812236582857,0.6392637136529737,1765136.6666666667,8903760.133333333
seed1,6,SI,12,0.12716204200723671,0.02631595539408635,0.16051724412682292,1052569.1666666667,9531037.633333333
seed1,7,SI,12,0.2585697438629225,0.1778544114226783,0.23173317162922916,2213601.75,10720871.016666666
seed1,8,SI,12,0.24417602941291114,0.16482561721679378,0.20486308533953881,2357145.5833333335,12129681.699999997
seed1,9,SI,12,0.4130267646328123,0.31858924679665085,0.4892370110730817,3907097.3333333335,14464808.766666668
seed1,10,SI,12,0.3846013842860642,0.3057186550686811,0.3284356907228223,5465796.666666667,17315815.266666666
seed1,11,SI,12,0.3471206730399159,0.3606944451459727,0.19183895616242103,6437799.666666667,20827662.233333334
seed1,12,SI,12,0.40775680156229566,0.4139703161032316,0.14562268957495672,10583333.333333334,26564265.066666666
seed1,13,SI,12,0.3622754326134303,0.316848574321866,0.1100898679951814,11901515.083333334,33690512.78333334
seed1,14,SI,12,0.31701710591479043,0.30718973598493854,0.0984425913189508,12568181.75,40781475.50000001
seed1,15,SI,12,0.30152656862493094,0.25550956124848506,0.10799322121279076,14345729.916666666,49379544.11666668
seed1,16,SI,12,0.3786575044069884,0.22065480198152748,0.4797787558539871,17777797.916666668,60036614.700000025
seed1,17,SI,12,0.24250497932712023,0.21226897670006875,0.12595483523072923,15300508.666666666,69211357.23333336
seed1,18,SI,12,0.3490632098954222,0.18637522731234568,0.5069934998936773,19471998.0,80893630.53333335
