term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
small,3,1,1.2597606173367737,1.0955165313415338
impact,3,1,1.2597606173367737,1.0955165313415338
member,3,1,1.2597606173367737,1.0955165313415338
loss,3,1,1.2597606173367737,1.0955165313415338
prior,3,1,1.2597606173367737,1.0955165313415338
experience,3,1,1.2597606173367737,1.0955165313415338
maintaining,9,6,0.5731326591709127,1.0882278143778963
significantly,11,8,0.48641446565333446,1.0473965602962596
allowed,11,8,0.48641446565333446,1.0473965602962596
advantage,23,20,0.30847323477078525,1.009169550841125
flexibility,4,2,0.858466691981624,0.9933342699111929
demonstrate,4,2,0.858466691981624,0.9933342699111929
goals,4,2,0.858466691981624,0.9933342699111929
around,4,2,0.858466691981624,0.9933342699111929
reward,4,2,0.858466691981624,0.9933342699111929
amount,145,154,0.11088443240195822,0.9582832472706445
institution,105,110,0.12382074168579749,0.9075809759103113
benefits,6,4,0.5725223419733592,0.8879080648448116
expect,9,7,0.41900433703178663,0.8319719167065178
stability,11,0,7.1739974430761135,0.7170741714547617
climate,11,0,7.1739974430761135,0.7170741714547617
strategies,2,1,0.855700884097085,0.7015800399884304
see,2,1,0.855700884097085,0.7015800399884304
options,2,1,0.855700884097085,0.7015800399884304
countries,2,1,0.855700884097085,0.7015800399884304
payoffs,2,1,0.855700884097085,0.7015800399884304
reputation,2,1,0.855700884097085,0.7015800399884304
minimizing,2,1,0.855700884097085,0.7015800399884304
risk,2,1,0.855700884097085,0.7015800399884304
observe,2,1,0.855700884097085,0.7015800399884304
collective,9,0,6.973018838386978,0.6969152456698877
individual,8,0,6.855119762459068,0.6850844663968769
long-term,8,0,6.855119762459068,0.6850844663968769
much,7,0,6.721512001926235,0.6716722894084912
capacity,6,0,6.5673444137836166,0.6561887541704018
fiscal,6,0,6.5673444137836166,0.6561887541704018
suggest,3,2,0.571361088150149,0.6272491448412764
outcomes,4,0,6.162201829703926,0.6154532627193189
set,4,0,6.162201829703926,0.6154532627193189
historically,4,0,6.162201829703926,0.6154532627193189
developed,4,0,6.162201829703926,0.6154532627193189
justify,4,3,0.45444615102870944,0.5958944046929039
optimal,9,8,0.28543586096419915,0.5877699933017316
large,3,0,5.875096225872451,0.5865361179870854
already,3,0,5.875096225872451,0.5865361179870854
ride,3,0,5.875096225872451,0.5865361179870854
within,3,0,5.875096225872451,0.5865361179870854
influence,3,0,5.875096225872451,0.5865361179870854
example,3,0,5.875096225872451,0.5865361179870854
punishment,5,4,0.39027893770258615,0.5824556932874358
usd,6,5,0.3496623912835428,0.5779818822471093
budget,23,23,0.16812827633114402,0.5702746571262377
explore,2,0,5.471036492632762,0.5457477521371502
strong,2,0,5.471036492632762,0.5457477521371502
observations,2,0,5.471036492632762,0.5457477521371502
substantial,2,0,5.471036492632762,0.5457477521371502
goal,2,0,5.471036492632762,0.5457477521371502
good,2,0,5.471036492632762,0.5457477521371502
myself,2,0,5.471036492632762,0.5457477521371502
insufficient,2,0,5.471036492632762,0.5457477521371502
defector,2,0,5.471036492632762,0.5457477521371502
over-contributing,2,0,5.471036492632762,0.5457477521371502
beneficial,2,0,5.471036492632762,0.5457477521371502
funds,2,0,5.471036492632762,0.5457477521371502
deviate,2,0,5.471036492632762,0.5457477521371502
full,2,0,5.471036492632762,0.5457477521371502
costs,2,0,5.471036492632762,0.5457477521371502
contributor,2,0,5.471036492632762,0.5457477521371502
provide,1,0,4.782597789556031,0.4759095938288719
framework,1,0,4.782597789556031,0.4759095938288719
financial,1,0,4.782597789556031,0.4759095938288719
supporting,1,0,4.782597789556031,0.4759095938288719
directly,1,0,4.782597789556031,0.4759095938288719
used,1,0,4.782597789556031,0.4759095938288719
opportunities,1,0,4.782597789556031,0.4759095938288719
presence,1,0,4.782597789556031,0.4759095938288719
conclude,1,0,4.782597789556031,0.4759095938288719
affects,1,0,4.782597789556031,0.4759095938288719
little,1,0,4.782597789556031,0.4759095938288719
potentially,1,0,4.782597789556031,0.4759095938288719
budgets,1,0,4.782597789556031,0.4759095938288719
equal,1,0,4.782597789556031,0.4759095938288719
consistently,1,0,4.782597789556031,0.4759095938288719
initially,1,0,4.782597789556031,0.4759095938288719
takes,1,0,4.782597789556031,0.4759095938288719
through,1,0,4.782597789556031,0.4759095938288719
interest,1,0,4.782597789556031,0.4759095938288719
left,1,0,4.782597789556031,0.4759095938288719
follow-through,1,0,4.782597789556031,0.4759095938288719
net,1,0,4.782597789556031,0.4759095938288719
damage,1,0,4.782597789556031,0.4759095938288719
fully,1,0,4.782597789556031,0.4759095938288719
position,1,0,4.782597789556031,0.4759095938288719
decisions,1,0,4.782597789556031,0.4759095938288719
norms,1,0,4.782597789556031,0.4759095938288719
reducing,1,0,4.782597789556031,0.4759095938288719
excessive,1,0,4.782597789556031,0.4759095938288719
