term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
contribution nothing,6,2,1.2628517959196213,1.5498885388944692
previous maintain,6,2,1.2628517959196213,1.5498885388944692
contribution high,11,6,0.7731348858204541,1.5244261421091165
contribution institution,19,13,0.5472523318158817,1.520921025392026
requires balance,7,3,1.0129778843797865,1.469969622037915
strategy past,7,3,1.0129778843797865,1.469969622037915
given high,14,9,0.6092475548901266,1.426666942892189
per unit,36,30,0.3505876778345982,1.4184154273353613
return per,36,30,0.3505876778345982,1.4184154273353613
payoff requires,36,30,0.3505876778345982,1.4184154273353613
aligns institution,8,4,0.8594982785982612,1.4050158441402292
contribution amount,8,4,0.8594982785982612,1.4050158441402292
amount align,4,1,1.5462643585392675,1.3888801152823784
emissions index,4,1,1.5462643585392675,1.3888801152823784
observed high,4,1,1.5462643585392675,1.3888801152823784
contribute billion,4,1,1.5462643585392675,1.3888801152823784
contribution emissions,4,1,1.5462643585392675,1.3888801152823784
use sfi,4,1,1.5462643585392675,1.3888801152823784
peers except,4,1,1.5462643585392675,1.3888801152823784
contribution around,4,1,1.5462643585392675,1.3888801152823784
contributors emerging,4,1,1.5462643585392675,1.3888801152823784
maintain flexibility,4,1,1.5462643585392675,1.3888801152823784
expect others,4,1,1.5462643585392675,1.3888801152823784
strategy low,4,1,1.5462643585392675,1.3888801152823784
emissions reduction,16,11,0.542257917969442,1.3850088718522167
contribution others,16,11,0.542257917969442,1.3850088718522167
contribution maximize,9,5,0.7545164161955213,1.3538668200270454
contribute group,10,6,0.67779560938218,1.3134748761311905
contribute significantly,25,20,0.3910589813060774,1.3038268174235461
unit contribution,36,31,0.31770694675180877,1.296841628734646
history cooperate,5,2,1.0807431152982492,1.294406881680643
peer behavior,5,2,1.0807431152982492,1.294406881680643
high budget,5,2,1.0807431152982492,1.294406881680643
others contribute,11,7,0.6191205233162798,1.2812989666383743
maximizing payoff,6,3,0.8589450703443067,1.2164173517103816
contribute little,17,13,0.43584852775803107,1.183371333321067
contribution significant,17,13,0.43584852775803107,1.183371333321067
low vulnerability,7,4,0.7260253426598844,1.1595572042827107
history high,7,4,0.7260253426598844,1.1595572042827107
strategy deviate,7,4,0.7260253426598844,1.1595572042827107
institution setting,3,1,1.2592933775303479,1.0951102089617135
benefit mcpr,3,1,1.2592933775303479,1.0951102089617135
amount similar,3,1,1.2592933775303479,1.0951102089617135
strategy incentivization,3,1,1.2592933775303479,1.0951102089617135
self-interested choice,3,1,1.2592933775303479,1.0951102089617135
choose contribution,3,1,1.2592933775303479,1.0951102089617135
prior experience,3,1,1.2592933775303479,1.0951102089617135
observed peer,3,1,1.2592933775303479,1.0951102089617135
strategy maximizes,3,1,1.2592933775303479,1.0951102089617135
defectors penalized,3,1,1.2592933775303479,1.0951102089617135
strategy previous,3,1,1.2592933775303479,1.0951102089617135
deviated expected,3,1,1.2592933775303479,1.0951102089617135
level contribution,3,1,1.2592933775303479,1.0951102089617135
considering group,3,1,1.2592933775303479,1.0951102089617135
similar amount,3,1,1.2592933775303479,1.0951102089617135
rounds group,3,1,1.2592933775303479,1.0951102089617135
high amount,3,1,1.2592933775303479,1.0951102089617135
align institution,3,1,1.2592933775303479,1.0951102089617135
contribution internal,9,6,0.5724261830233335,1.0868864024348004
contribution group,9,6,0.5724261830233335,1.0868864024348004
developed countries,362,0,10.70821168471029,1.070806378838366
countries binding,360,0,10.702421296651549,1.0702272659136745
defaults developed,360,0,10.702421296651549,1.0702272659136745
binding treaty,360,0,10.702421296651549,1.0702272659136745
maximum allowed,10,7,0.5237812468780056,1.0635213556570111
requires contribution,24,21,0.3012656055056855,1.008453583225105
aligns past,4,2,0.8579786087105443,0.9927695073592357
previous-round peer,4,2,0.8579786087105443,0.9927695073592357
institution high,4,2,0.8579786087105443,0.9927695073592357
except defectors,4,2,0.8579786087105443,0.9927695073592357
flexibility future,4,2,0.8579786087105443,0.9927695073592357
advantage mcpr,4,2,0.8579786087105443,0.9927695073592357
billion usd,4,2,0.8579786087105443,0.9927695073592357
strategy choose,4,2,0.8579786087105443,0.9927695073592357
rounds contribution,4,2,0.8579786087105443,0.9927695073592357
peers cooperate,5,3,0.6768363897229346,0.9281082365119192
