shock_round,agent_id,institution_choice,agent_group,mean_prop_pre,mean_prop_during,mean_prop_post,delta_post_minus_pre,delta_during_minus_pre
10,11,SFI,developing,0.037896786665947105,0.0318771818166563,0.026941420501857702,-0.010955366164089403,-0.006019604849290802
10,12,SFI,developing,0.03228910596866875,0.0278207378375108,0.02397901373191265,-0.008310092236756099,-0.004468368131157949
10,13,SI,developed,0.03973413025924975,0.3139970502782166,0.3682633366524923,0.3285292063932425,0.27426292001896685
10,14,SI,developed,0.25245786590603825,0.9446370933834036,0.3839409960356117,0.13148313012957347,0.6921792274773654
10,15,SFI,developing,0.1226417117435685,2.781070918897614,0.3284445697648804,0.2058028580213119,2.658429207154046
10,16,SI,developed,0.0731723877641122,0.0497506436931755,0.18319758185225524,0.11002519408814304,-0.023421744070936695
10,17,SFI,developing,0.03935634607601485,0.032900792820532,0.0276708846117469,-0.011685461464267948,-0.006455553255482846
10,18,SFI,developing,0.29171945330445903,0.2526769377904485,0.8016409513197899,0.5099214980153308,-0.039042515514010556
10,19,SFI,developing,0.00140514265065285,0.0011122920925708,0.00090487929016825,-0.0005002633604846,-0.00029285055808205007
10,20,SFI,developing,0.7454064797907588,0.6710377854986178,0.5347562635368008,-0.21065021625395797,-0.07436869429214099
10,21,SI,developed,0.30555074867963306,0.2639956110752819,0.49817634366862706,0.192625594988994,-0.041555137604351144
10,22,SI,developed,0.04259287024771765,0.0451048768447797,0.33751689469773016,0.29492402445001253,0.0025120065970620498
10,23,SI,developed,0.45294200045687505,0.8893527805694728,0.3864785755785056,-0.06646342487836943,0.4364107801125977
10,24,SFI,developing,0.02510453207216235,0.0,0.04511491593628715,0.0200103838641248,-0.02510453207216235
10,25,SI,developed,0.6511082931431008,0.3366079414093934,0.3922929534647422,-0.2588153396783586,-0.31450035173370744
