agent_id,agent_group,institution_choice,mean_prop,median_prop,std_prop,zero_share,baseline_prop_r1_4,late_prop_r20_30,mean_reputation,min_reputation,n_bad_rep_rounds,n_gossip_target_rounds,mean_delta_prop_after_gossip,mean_delta_prop_after_bad_rep,top_motifs,shock_deltas,adaptation_flag
16,developed,SI,0.12485217380622582,0.0838288949129026,0.111340324430483,0.0,0.28845912687378744,0.04501277955845093,5.430666666666668,2.76,1,2,-0.0261308949760546,-0.0398316873012553,opportunistic|future_rounds|fairness|conformity,R5 Δ=-0.066; R10 Δ=0.110,1
17,developing,SFI,0.023710401676056824,0.01561924229405585,0.018338575930872136,0.03333333333333333,0.03429506605705365,0.011173666131275363,5.422666666666667,1.0,1,0,,0.0646744543272821,named_agents|future_rounds|conformity|opportunistic,R5 Δ=-0.019; R10 Δ=-0.012,0
18,developing,SFI,0.5375354580965059,0.0956767547650217,1.1433591298223895,0.23333333333333334,0.0627780341914638,0.9014447849797915,5.044,1.0,6,6,-0.35706676712593005,-0.35706676712593005,conformity|opportunistic|named_agents,R5 Δ=0.006; R10 Δ=0.510,1
19,developing,SFI,0.0010792783218110333,0.00054201689981425,0.001218088101357954,0.03333333333333333,0.0031315444448924744,0.0003327187388123364,5.089333333333333,3.56,1,0,,-0.0012086287510834999,named_agents|conformity|opportunistic|future_rounds,R5 Δ=-0.002; R10 Δ=-0.001,0
20,developing,SFI,0.6028192786680953,0.45913526102340935,0.7564064721347402,0.06666666666666667,0.030837803829060872,0.5816922946519377,5.4626666666666654,1.0,2,0,,-0.08740353891360611,named_agents|conformity|future_rounds|opportunistic,R5 Δ=0.596; R10 Δ=-0.211,1
21,developed,SI,0.42518095266312084,0.35680773726224924,0.3874170282287901,0.0,0.5135085684704026,0.32492267210916287,5.4079999999999995,3.0,2,1,-0.12871084167246838,0.01611421457061321,opportunistic|fairness|future_rounds|conformity,R5 Δ=0.041; R10 Δ=0.193,1
22,developed,SI,0.31664594596942436,0.20078562331178507,0.4829647753250061,0.03333333333333333,0.43642943439482196,0.43326712456536304,5.081333333333333,1.0,2,1,0.052148189628074604,-0.1110104540601918,opportunistic|future_rounds|conformity|named_agents,R5 Δ=-0.166; R10 Δ=0.295,0
23,developed,SI,0.4694447770251339,0.24264316780727468,0.8130369390116374,0.06666666666666667,0.8705790803705805,0.501414669159547,5.000000000000001,1.0,3,2,0.015416081935840653,0.11342598494099043,opportunistic|conformity|future_rounds|fairness,R5 Δ=0.030; R10 Δ=-0.066,1
24,developing,SFI,0.03209768245117674,0.0402918232456852,0.018173155084409108,0.23333333333333334,0.0106652513289025,0.0399049774813896,4.286666666666666,1.0,7,5,-0.01760994385065752,-0.0007472447924643007,named_agents|opportunistic|future_rounds|reputation_management,R5 Δ=-0.001; R10 Δ=0.020,0
25,developed,SI,0.41246395420480547,0.31304887299332834,0.5005495574876959,0.1,0.04509405209706158,0.5131162271708349,4.909333333333334,1.0,3,2,-0.10168485228303786,0.03884265913944105,opportunistic|fairness|conformity|reputation_management,R5 Δ=0.490; R10 Δ=-0.259,1
